acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0.0895,https://api.spotify.com/v1/audio-analysis/3ebXMykcMXOcLeJ9xZ17XH,0.584,220883,0.54,3ebXMykcMXOcLeJ9xZ17XH,0.0,1,0.261,-7.786,0,0.0576,1,137.972,4,https://api.spotify.com/v1/tracks/3ebXMykcMXOcLeJ9xZ17XH,audio_features,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,0.195
0.0987,https://api.spotify.com/v1/audio-analysis/7pYFPMeK0TnaTGdS6qOtEr,0.372,200029,0.919,7pYFPMeK0TnaTGdS6qOtEr,0.0,11,0.234,-1.68,0,0.3,1,182.785,4,https://api.spotify.com/v1/tracks/7pYFPMeK0TnaTGdS6qOtEr,audio_features,spotify:track:7pYFPMeK0TnaTGdS6qOtEr,0.419
0.579,https://api.spotify.com/v1/audio-analysis/0y1QJc3SJVPKJ1OvFmFqe6,0.489,213707,0.505,0y1QJc3SJVPKJ1OvFmFqe6,0.000333,10,0.104,-8.022,0,0.117,1,163.255,4,https://api.spotify.com/v1/tracks/0y1QJc3SJVPKJ1OvFmFqe6,audio_features,spotify:track:0y1QJc3SJVPKJ1OvFmFqe6,0.337
0.00708,https://api.spotify.com/v1/audio-analysis/4bRfMTaUtQn1QvowPx47ZD,0.428,254347,0.819,4bRfMTaUtQn1QvowPx47ZD,3.02e-05,0,0.325,-9.108,1,0.137,1,148.926,4,https://api.spotify.com/v1/tracks/4bRfMTaUtQn1QvowPx47ZD,audio_features,spotify:track:4bRfMTaUtQn1QvowPx47ZD,0.728
0.404,https://api.spotify.com/v1/audio-analysis/48GBbQiTSlXX5i0cn3iIiJ,0.759,212627,0.83,48GBbQiTSlXX5i0cn3iIiJ,0.0,0,0.105,-3.633,1,0.127,1,104.994,4,https://api.spotify.com/v1/tracks/48GBbQiTSlXX5i0cn3iIiJ,audio_features,spotify:track:48GBbQiTSlXX5i0cn3iIiJ,0.643
0.00222,https://api.spotify.com/v1/audio-analysis/5DEp4UmhxN7OLnYQacWZhh,0.531,200733,0.786,5DEp4UmhxN7OLnYQacWZhh,0.000316,5,0.132,-6.661,1,0.243,1,169.892,4,https://api.spotify.com/v1/tracks/5DEp4UmhxN7OLnYQacWZhh,audio_features,spotify:track:5DEp4UmhxN7OLnYQacWZhh,0.244
0.116,https://api.spotify.com/v1/audio-analysis/7f08qp3HROTkfrtNpiYGGo,0.685,201893,0.783,7f08qp3HROTkfrtNpiYGGo,0.0,11,0.194,-4.152,1,0.0276,1,90.008,4,https://api.spotify.com/v1/tracks/7f08qp3HROTkfrtNpiYGGo,audio_features,spotify:track:7f08qp3HROTkfrtNpiYGGo,0.525
0.0496,https://api.spotify.com/v1/audio-analysis/48tAdjG4ng2JfECa7OQujk,0.511,187760,0.812,48tAdjG4ng2JfECa7OQujk,1.64e-06,6,0.0829,-4.763,0,0.0464,1,81.992,4,https://api.spotify.com/v1/tracks/48tAdjG4ng2JfECa7OQujk,audio_features,spotify:track:48tAdjG4ng2JfECa7OQujk,0.692
0.0533,https://api.spotify.com/v1/audio-analysis/72Q0FQQo32KJloivv5xge2,0.599,288877,0.667,72Q0FQQo32KJloivv5xge2,0.0,7,0.134,-4.267,1,0.0367,1,80.984,4,https://api.spotify.com/v1/tracks/72Q0FQQo32KJloivv5xge2,audio_features,spotify:track:72Q0FQQo32KJloivv5xge2,0.817
0.075,https://api.spotify.com/v1/audio-analysis/6kex4EBAj0WHXDKZMEJaaF,0.696,216409,0.817,6kex4EBAj0WHXDKZMEJaaF,0.0,1,0.187,-3.862,1,0.109,1,98.064,4,https://api.spotify.com/v1/tracks/6kex4EBAj0WHXDKZMEJaaF,audio_features,spotify:track:6kex4EBAj0WHXDKZMEJaaF,0.782
0.00025,https://api.spotify.com/v1/audio-analysis/18oWEPapjNt32E6sCM6VLb,0.56,221000,0.901,18oWEPapjNt32E6sCM6VLb,0.134,8,0.299,-4.481,0,0.032,1,132.009,4,https://api.spotify.com/v1/tracks/18oWEPapjNt32E6sCM6VLb,audio_features,spotify:track:18oWEPapjNt32E6sCM6VLb,0.807
0.00925,https://api.spotify.com/v1/audio-analysis/2idmlkd8oUaQvYEtINpLBX,0.752,383547,0.629,2idmlkd8oUaQvYEtINpLBX,0.26,1,0.0745,-3.913,0,0.0886,1,131.99,4,https://api.spotify.com/v1/tracks/2idmlkd8oUaQvYEtINpLBX,audio_features,spotify:track:2idmlkd8oUaQvYEtINpLBX,0.76
0.0417,https://api.spotify.com/v1/audio-analysis/05KfyCEE6otdlT1pp2VIjP,0.772,203782,0.775,05KfyCEE6otdlT1pp2VIjP,0.0,10,0.226,-4.388,0,0.112,1,124.978,4,https://api.spotify.com/v1/tracks/05KfyCEE6otdlT1pp2VIjP,audio_features,spotify:track:05KfyCEE6otdlT1pp2VIjP,0.748
0.000449,https://api.spotify.com/v1/audio-analysis/7AsqUKKbPMxOFNIbRLBxHt,0.543,195307,0.919,7AsqUKKbPMxOFNIbRLBxHt,0.0,1,0.243,-4.831,0,0.0415,1,125.022,4,https://api.spotify.com/v1/tracks/7AsqUKKbPMxOFNIbRLBxHt,audio_features,spotify:track:7AsqUKKbPMxOFNIbRLBxHt,0.498
0.0353,https://api.spotify.com/v1/audio-analysis/3n2A6l4UayVe3GGKCvfQWV,0.488,165173,0.744,3n2A6l4UayVe3GGKCvfQWV,0.0,2,0.0952,-4.284,0,0.131,1,180.007,4,https://api.spotify.com/v1/tracks/3n2A6l4UayVe3GGKCvfQWV,audio_features,spotify:track:3n2A6l4UayVe3GGKCvfQWV,0.59
